term,kana,meaning
(た)がる,,前接表示情感的形容词，构成一类动词，用于表述第三人称流露在外的感情或欲望。
(～が)欲しいです,,[名1] (愿望主体)＋は＋[名2] (愿望对象)＋が　ほしいです 表示想得到某物的愿望
(～で～が)あります,,[场所]＋で＋[事件]＋が＋あります 表示在某处发生某事。
(～に～が)あります/います,,名[场所]に　名[物／人]が　あります／います。 “某处有某物/人”
(～は) ～ことができます,,[名(人)]＋は＋[动(基本形)]＋ことが　できます：表示可能。表示 ①能力 ②条件允许
(～は) ～ことです,,[名]＋は＋[动（基本形）]＋ことです：“~是~”
(～は)どうですか,,どうですか：询问对方的感想，“如何，怎么样？”  询问过去的感想：どうでしたか。
(～は)どこですか,,询问存在的场所
(～は)～と言いました,,名[人]は　[小句（简体形）]と　言いました：引用第三者说话的内容
(～は)～に～をあげます,,名1[人]は 名2[人]に 名3[物]を あげます “名1给名2~”。名2不能是“我“或”我方人员“
(～は)～に～をもらいます,,名1[人]は　名2[人]に　名3[物]を　もらいます  ＂名1从名2处得到名3＂。
(～は)～ほど～(く)ないです/ではありません,,[名1]は [名2]ほど [一类形]く ないです／[二类形]では ありません 名1不如名2那么…
(～は)～より～です,,[名1]は　[名2]より　一类形/二类形です。“名1比名2更……”
(～は～が)あります/います,,表示“所有”“拥有”   =持っていますか
(～は～に)あります/います,,名[物／人]は　名[场所]に　あります／います。 “某物/人在某处”
(～を)ください,,[名]+を　ください：请给我……
(～を)～たいです,,[名]を　[动(连用形)]+たいです：（我）想……（做某事） ～たい：按形1活用
100円～,ひゃくえんショップ,名词 100日元店
10つ,とお,十个
10日,とおか,10日，10号
14日,じゅうよっか,14日，14号
1つ,ひとつ,一个（用于计算物品）
1人,ひとり,一个人
1人1人,ひとりひとり,名词 每个人，各自
1日,ついたち,1日，1号
20日,はつか,20日，20号
24日,にじゅうよっか,24日，24号
2、3日,2、3にち,两三天
2、3～,,二三～（用于不定数量的计算）
2つ,ふたつ,二个
2人,ふたり,二个人
2日,ふつか,2日，2号
3つ,みっつ,三个
3日,みっか,3日，3号
4つ,よっつ,四个
4日,よっか,4日，4号
5つ,いつつ,五个
5日,いつか,5日，5号
6つ,むっつ,六个
6日,むいか,6日，6号
7つ,ななつ,七个
7日,なのか,7日，7号
8つ,やっつ,八个
8日,ようか,8日，8号
9つ,ここのつ,九个
9日,ここのか,9日，9号
<~が~> ~は/が~,,[小句(动词简体形)]+[名]は[名]／[形]です 动词小句简体形+名，形1简体形+名，（形2→词干＋な）+名，（名1＋が＋名2＋の）＋名
ASIMO,アシモ,专 ASIMO
A型,エーがた,名词 A型
CD,,CD，雷射唱盘
CM～,シーエムソング,名词 广告歌曲
CS公司,シーエスコンス,专 CS公司
CS貿易,シーエスぼうえき,专有词 CS贸易公司
DVD,ディーブイディー,名 DVD机；数字光盘
GDP,ジーディーピー,名 GDP，国内生产总值
H２型～,エイチツーがたミサイル,名词 H2型导弹
IC～,アイシータグ,名词 IC识别卡，条形码，条码签
IRS蒼竜,アイアールエスそうりゅう,专有词 IRS苍龙
IT,アイティー,名 IT ．电子技术
JC自動車,ジェーシーじどうしゃ,专 JC汽车公司
MIT－7900,エムアイティーななせんきゅうひゃく,专 MIT—7900
MTS社,エムティーエスしゃ,名词 MTS公司
NGO,エヌジーオー,名词 民间公益团体
R．U．R．,エル・ウー・エル,专 R.U.R
SC商事,エスシーしょうじ,专有词 SC商业公司
SF小説,エスエフしょうせつ,名词 科幻小说
SUSHI,すし,寿司
Tシャツ,ティーシャツ,名 T恤衫
UFO,ユーフォー,名 不明飞行物
Uターン現象,ユーターンげんしょう,名词 调头现象
WTO,ダブリューティーオー,专 WTO．世界贸易组织
am,エーエム,名 上午
pm,ピーエム,名 下午
~(の)ではないか,,书面
~(の)分,,＋の＋分\n【小句（简体形式）】＋分
~(よう)とする,,打算……
~、~、~、~と,,列举
~あってこそ,,＋こそ（「こそ」表示强调。）
~うえで,,＋うえで\n②【動詞た形／名詞＋の】＋うえで
~うちに,,＋うちに
~うちは,,＋うちは
~えなかった,,＋うる／えない
~おかげで/~おかげか,,原因 积极
~おそれがある,,＋おそれがある
~かい,,大叔腔
~かい/~がい,,价值
~かいがある,,＋かい  動詞ます形去ます＋がい
~かしら,,和“かな”语义相近，用于简体句句尾，多为女性使用。 \n1) 没有听话人在场，一般为吐露内心疑问的自言自语。 \n2) 有听话人在场，向对方发问。
~かたわら,,＋かたわら
~かもしれません,,[小句（简体形）]＋かもしれません 表示推测，其可能性低于“でしょう”   其简体形是“～かもしれない”。
~かもね,,推测
~から~にかけて,,时间或空间的大致范围
~からいうと/~からいえば/~からいって,,＋から……\n前面不能出现“人”。
